role,description,url
hero_1,"Primary hero - dramatic, strong light/shadow, clear subject. Face or hands in action. Must look great in grayscale.",
hero_2,"Alternate hero - different angle or mood. Same energy, different composition.",
lifestyle,"Person experiencing something aspirational. Candid feel, not posed.",
product_1,"The thing being sold/offered - clean shot, works when cropped into fragments.",
product_2,"Different angle or variant of the product/service.",
detail,"Macro/texture closeup - material, surface, craft. Creates tactile feeling.",
card_1,"Grid item 1 - square-friendly, consistent style with other cards.",
card_2,"Grid item 2 - same treatment as card_1.",
card_3,"Grid item 3 - same treatment as card_1.",
card_4,"Grid item 4 - same treatment as card_1."
