category,role,description,url
fashion-beauty,hero_1,"Dramatic model shot - face/hands applying product, strong light/shadow",
fashion-beauty,hero_2,"Alternate angle - different mood, same fashion/beauty context",
fashion-beauty,lifestyle,"Person experiencing the product, aspirational setting",
fashion-beauty,product_1,"Clean product shot (lipstick, bag, shoe etc.) - works when cropped",
fashion-beauty,product_2,"Product alternate angle or variant",
fashion-beauty,detail,"Macro: fabric texture, makeup swatch, skin closeup",
fashion-beauty,card_1,"Product variant 1 - square-friendly, consistent style",
fashion-beauty,card_2,"Product variant 2",
fashion-beauty,card_3,"Product variant 3",
fashion-beauty,card_4,"Product variant 4",
watches-jewelry,hero_1,"Wrist/hand shot wearing piece, dramatic lighting, strong shadows",
watches-jewelry,hero_2,"Alternate: jewelry on dark surface, moody lighting",
watches-jewelry,lifestyle,"Person in luxury setting wearing the piece, aspirational",
watches-jewelry,product_1,"Watch or jewelry piece hero shot, clean background",
watches-jewelry,product_2,"Different piece or angle",
watches-jewelry,detail,"Dial macro, clasp detail, gem facet, metal texture",
watches-jewelry,card_1,"Collection piece 1 - square-friendly",
watches-jewelry,card_2,"Collection piece 2",
watches-jewelry,card_3,"Collection piece 3",
watches-jewelry,card_4,"Collection piece 4",
spirits-fragrance,hero_1,"Person savoring drink or applying fragrance, atmospheric",
spirits-fragrance,hero_2,"Bottle pour or spray moment, dramatic lighting",
spirits-fragrance,lifestyle,"Social setting, someone enjoying the product",
spirits-fragrance,product_1,"Bottle hero shot, clean or moody background",
spirits-fragrance,product_2,"Different bottle or angle",
spirits-fragrance,detail,"Glass texture, liquid surface, bottle embossing, cork grain",
spirits-fragrance,card_1,"Product variant/scent 1",
spirits-fragrance,card_2,"Product variant/scent 2",
spirits-fragrance,card_3,"Product variant/scent 3",
spirits-fragrance,card_4,"Product variant/scent 4",
high-ticket-coaching,hero_1,"Speaker on stage or confident pose, strong presence",
high-ticket-coaching,hero_2,"Working at desk, mentoring scene, authority posture",
high-ticket-coaching,lifestyle,"Coach with client, transformation moment, workshop setting",
high-ticket-coaching,product_1,"Laptop/workspace with program visible, clean setup",
high-ticket-coaching,product_2,"Book, course material, or branded asset",
high-ticket-coaching,detail,"Notebook closeup, pen on paper, handwriting, screen detail",
high-ticket-coaching,card_1,"Program tier or testimonial portrait 1",
high-ticket-coaching,card_2,"Program tier or testimonial portrait 2",
high-ticket-coaching,card_3,"Program tier or testimonial portrait 3",
high-ticket-coaching,card_4,"Program tier or testimonial portrait 4",
premium-fitness,hero_1,"Mid-movement athlete, sweat, intensity, strong light/shadow",
premium-fitness,hero_2,"Different exercise or rest moment, dramatic angle",
premium-fitness,lifestyle,"Training in premium gym or outdoor setting, aspirational",
premium-fitness,product_1,"Equipment hero shot or supplement product",
premium-fitness,product_2,"Different equipment or program visual",
premium-fitness,detail,"Grip on barbell, shoe tread, rope texture, chalk dust",
premium-fitness,card_1,"Program or transformation 1",
premium-fitness,card_2,"Program or transformation 2",
premium-fitness,card_3,"Program or transformation 3",
premium-fitness,card_4,"Program or transformation 4",
creative-agency,hero_1,"Designer at work, hands on keyboard/tablet, creative environment",
creative-agency,hero_2,"Studio shot, team collaboration, brainstorm scene",
creative-agency,lifestyle,"Creative process in action, sketching, designing",
creative-agency,product_1,"Project screenshot, mockup on screen, finished work",
creative-agency,product_2,"Different project or deliverable type",
creative-agency,detail,"Pen nib on paper, screen pixels macro, paper grain, ink",
creative-agency,card_1,"Portfolio piece 1",
creative-agency,card_2,"Portfolio piece 2",
creative-agency,card_3,"Portfolio piece 3",
creative-agency,card_4,"Portfolio piece 4",
architecture-interiors,hero_1,"Building exterior dramatic angle, strong geometry and shadows",
architecture-interiors,hero_2,"Interior room reveal, light streaming in",
architecture-interiors,lifestyle,"Person in designed space, scale and atmosphere",
architecture-interiors,product_1,"Architectural detail, staircase, facade element",
architecture-interiors,product_2,"Interior vignette, furniture arrangement",
architecture-interiors,detail,"Material junction, concrete texture, wood grain, marble veining",
architecture-interiors,card_1,"Project showcase 1",
architecture-interiors,card_2,"Project showcase 2",
architecture-interiors,card_3,"Project showcase 3",
architecture-interiors,card_4,"Project showcase 4",
luxury-real-estate,hero_1,"Property at golden hour or dramatic sky, exterior wide shot",
luxury-real-estate,hero_2,"Aerial or elevated angle of property",
luxury-real-estate,lifestyle,"Person enjoying the space - pool, terrace, living room",
luxury-real-estate,product_1,"Interior hero room - living room or master suite",
luxury-real-estate,product_2,"Kitchen or bathroom showcase",
luxury-real-estate,detail,"Door handle, marble floor, staircase railing, fixture closeup",
luxury-real-estate,card_1,"Room tour shot 1",
luxury-real-estate,card_2,"Room tour shot 2",
luxury-real-estate,card_3,"Room tour shot 3",
luxury-real-estate,card_4,"Room tour shot 4",
event-launch,hero_1,"Stage setup, crowd anticipation, dramatic lighting",
event-launch,hero_2,"Unveil moment, product reveal, spotlight scene",
event-launch,lifestyle,"Attendees engaged, networking, experiencing the event",
event-launch,product_1,"The product being launched, clean presentation",
event-launch,product_2,"Different angle or feature of the launch product",
event-launch,detail,"Ticket/badge closeup, confetti, lighting rig, stage texture",
event-launch,card_1,"Event moment or feature 1",
event-launch,card_2,"Event moment or feature 2",
event-launch,card_3,"Event moment or feature 3",
event-launch,card_4,"Event moment or feature 4",
luxury-automotive,hero_1,"Car in motion or moody garage/tunnel shot, dramatic angle",
luxury-automotive,hero_2,"Front three-quarter view, dramatic lighting",
luxury-automotive,lifestyle,"Driver experience, open road, cityscape backdrop",
luxury-automotive,product_1,"Dashboard or interior hero shot",
luxury-automotive,product_2,"Engine bay or wheel detail, beauty shot",
luxury-automotive,detail,"Leather stitch, dashboard dial, wheel spoke, badge emboss",
luxury-automotive,card_1,"Model or angle variant 1",
luxury-automotive,card_2,"Model or angle variant 2",
luxury-automotive,card_3,"Model or angle variant 3",
luxury-automotive,card_4,"Model or angle variant 4",
premium-saas,hero_1,"Person focused on screen, clean workspace, concentrated",
premium-saas,hero_2,"Team using the product, modern office setting",
premium-saas,lifestyle,"Professional in their element, productivity vibe",
premium-saas,product_1,"UI screenshot or product interface, clean presentation",
premium-saas,product_2,"Different feature or view of the product",
premium-saas,detail,"Keyboard detail, screen glow, code on monitor, cursor closeup",
